city,lat,lng
"אבו בלאל",32.232603,34.952793
"אבו גוש",31.806291,35.109195
"אבו סנאן",32.958029,35.17197
"אבו סריחאן",31.254332,34.881409
"אבו עבדון",31.302815,34.842593
"אבו עמאר",31.138355,34.954034
"אבו עמרה",31.282186,34.87274
"אבו קורינאת (שבט)",31.103114,34.952004
"אבו קורינאת",31.103114,34.952004
"אבו רוקייק",31.259539,34.863898
"אבטין",32.759962,35.114603
"אבטליון",32.83578,35.350443
"אביאל",32.531345,34.993494
"אביבים",33.08938,35.47034
"אביגדור",31.7119,34.740371
"אביחיל",32.350707,34.871231
"אביטל",31.88962,35.022604
"אביעזר",31.681995,35.018823
"אבירים",33.038085,35.286046
"אבן יהודה",32.276647,34.885089
"אבן יצחק (גלעד)",32.558074,35.076561
"אבן יצחק",32.558074,35.076561
"אבן מנחם",33.075142,35.29522
"אבן ספיר",31.762499,35.134993
"אבן שמואל",31.809997,35.195002
"אבני איתן",32.825618,35.766802
"אבני חפץ",32.284627,35.074553
"אבנת",31.679038,35.436946
"אבשלום",31.195395,34.331201
"אדורה",31.552218,35.017635
"אדירים",31.652752,35.23263
"אדמית",33.078842,35.209512
"אדרת",31.659714,34.994441
"אודים",32.266864,34.846996
"אודם",31.737287,35.18109
"אוהד",31.877566,35.126954
"אום אל-גנם",32.676641,35.391945
"אום אל-פחם",32.517126,35.148531
"אום אל-קוטוף",32.468083,35.059151
"אום בטין",31.281259,34.884031
"אומן",48.752611,30.217967
"אומץ",32.369215,34.99313
"אופקים",31.311336,34.622825
"אור הגנוז",33.005182,35.446738
"אור הנר",31.556196,34.602307
"אור יהודה",32.029747,34.856174
"אור עקיבא",32.509964,34.920395
"אורה",31.752108,35.150166
"אורות",31.740363,34.735601
"אורטל",33.086235,35.758662
"אורים",31.304093,34.524869
"אורנים",32.711323,35.109876
"אורנית",32.131923,34.990812
"אושה",32.796457,35.114585
"אזור",32.029557,34.79965
"אחווה",31.753934,35.309725
"אחוזם",31.552681,34.770152
"אחוזת ברק",32.6431,35.338895
"אחיהוד",32.907404,35.171717
"אחיטוב",32.3877,34.990828
"אחיסמך",31.931905,34.908577
"אחיעזר",31.98167,34.871822
"אטרש (שבט)",31.28122,34.912372
"אטרש",31.28122,34.912372
"איבים",31.5335972,34.6096972
"אייל",32.21071,34.978261
"איילת השחר",33.021114,35.576734
"אילון",33.062525,35.219164
"אילות",32.104201,35.183045
"אילניה",32.753907,35.40819
"אילת",29.557668,34.951926
"איתמר",32.173868,35.30803
"איתן",31.854322,35.214125
"איתנים",31.7788889,35.0952778
"אכסאל",32.682084,35.320745
"אל עריאן",32.498075,35.125095
"אל-עזי",31.718867,34.814255
"אל-עריאן",32.498075,35.125095
"אל-רום",33.180518,35.770097
"אלומה",31.65204,34.742874
"אלומות",32.706627,35.546089
"אלון הגליל",32.756873,35.220295
"אלון מורה",32.234417,35.331203
"אלון שבות",31.65487,35.125257
"אלוני אבא",32.730944,35.17203
"אלוני הבשן",33.044086,35.838509
"אלוני יצחק",32.5099972,35.0052
"אלונים",32.721458,35.143401
"אלי סיני",31.849761,35.038653
"אלי על",31.984791,34.759625
"אלי-עד",32.806582,35.736576
"אליכין",32.407658,34.925029
"אליפז",29.796247,35.012095
"אליפלט",32.947833,35.548518
"אליקים",32.633344,35.067615
"אלישיב",32.380195,34.909946
"אלישמע",32.154777,34.930463
"אלמגור",32.912708,35.602312
"אלמוג",31.728415,35.190167
"אלעד",32.049529,34.950751
"אלעזר",31.659674,35.143075
"אלפי מנשה",32.17063,35.014859
"אלקוש",33.034293,35.326349
"אלקנה",32.057858,35.257676
"אמונים",31.743884,34.674493
"אמירים",32.93735,35.450366
"אמנון",32.904988,35.571138
"אמציה",31.531175,34.914465
"אניעם",32.956637,35.73972
"אסד (שבט)",32.914667,35.274174
"אסד",31.332163,34.860439
"אספר",31.586151,35.187596
"אעבלין",32.821799,35.190122
"אעצם",31.295815,34.903104
"אפיניש",31.316182,34.996387
"אפיק",32.779427,35.702996
"אפיקים",32.680563,35.577732
"אפעל-בית אבות",32.051502,34.834244
"אפעל-מרכז סמינר",32.0485473,34.8363304
"אפעל-מרכז סמינריוני",32.048748,34.836652
"אפק",32.838315,35.127781
"אפרתה",31.653588,35.149936
"ארבל",32.171995,35.010681
"ארגמן",32.173339,35.522287
"ארז",31.559838,34.56489
"אריאל",32.104636,35.174515
"ארסוף",32.212839,34.815979
"אשבול",31.83197,35.29536
"אשבל",32.876983,35.306012
"אשדוד",31.80438,34.655316
"אשדות יעקב (מאוחד)",32.664807,35.58277
"אשדות יעקב  (איחוד)",32.658769,35.579639
"אשדות יעקב  (מאוחד)",32.664807,35.58277
"אשדות יעקב איחוד",32.658769,35.579639
"אשדות יעקב מאוחד",32.664807,35.58277
"אשדות יעקב)איחוד(",32.658769,35.579639
"אשדות יעקב)מאוחד(",32.664807,35.58277
"אשדות יעקב",32.658769,35.579639
"אשחר",32.885083,35.299623
"אשכולות",31.39117,34.904857
"אשל הנשיא",31.3268278,34.6974972
"אשלים",30.964244,34.699675
"אשקלון",31.665944,34.559466
"אשרת",32.971645,35.155702
"אשתאול",31.780384,35.010104
"אתגר",32.85935,35.256074
"באקה אל-גרביה",32.42289,35.035766
"באקה-גת",32.400766,35.037093
"באר אורה",29.710255,34.988523
"באר טוביה",31.737125,34.725572
"באר יעקב",31.943506,34.839041
"באר שבע",31.252972,34.791464
"בארות יצחק",32.042024,34.910223
"בארותיים",32.321038,34.983431
"בארי",41.1259135,16.8721133
"בדולח",31.850006,35.037216
"בוסתן הגליל",32.948635,35.080689
"בוקעאתא",33.203064,35.779199
"בורגתה",32.325971,34.96385
"בחן",32.35183,35.018543
"בטחה",31.333868,34.63432
"ביצרון",31.795405,34.729111
"ביר אל-מכסור",32.77729,35.220573
"ביריה",32.978107,35.503097
"בית אורן",32.7316,35.006321
"בית אל ב",31.942079,35.223682
"בית אלעזרי",31.844716,34.806628
"בית אלפא",32.516356,35.430501
"בית אריה",32.040058,35.049473
"בית ברל",32.201904,34.926953
"בית גוברין",31.612878,34.89557
"בית גמליאל",31.856127,34.760949
"בית גן",32.711009,35.496507
"בית דגן",32.000085,34.832164
"בית הגדי",31.422838,34.60788
"בית הלוי",32.351595,34.930445
"בית הלל",33.208781,35.606517
"בית העמק",32.970682,35.144847
"בית הערבה",31.807761,35.476413
"בית השיטה",32.550873,35.439353
"בית זיד",32.702413,35.13111
"בית זייד",32.702413,35.13111
"בית זית",31.783057,35.161118
"בית זרע",32.689295,35.574063
"בית חורון",31.879889,35.124099
"בית חירות",32.314725,34.897156
"בית חלקיה",31.793,34.8097
"בית חנן",31.93521,34.775597
"בית חנניה",32.529503,34.926736
"בית חרות",32.376222,34.873767
"בית חשמונאי",31.890297,34.9176
"בית יהושע",32.262074,34.86542
"בית יוסף",31.928379,35.021339
"בית ינאי",32.381728,34.863509
"בית יצחק-שער חפר",32.335579,34.889501
"בית לחם הגלילית",32.734557,35.191272
"בית מאיר",31.794785,35.036755
"בית נחמיה",31.977141,34.953837
"בית ניר",31.647626,34.873109
"בית נקופה",31.804391,35.126878
"בית עובד",31.921286,34.774906
"בית עוזיאל",31.870049,34.90486
"בית עזרא",31.736401,34.657515
"בית עריף",31.995351,34.935105
"בית צבי",32.719322,34.969509
"בית קמה",31.446565,34.762249
"בית קשת",32.718445,35.394954
"בית רבן",31.8175,34.7288889
"בית רימון",32.781844,35.32774
"בית שאן",32.497102,35.497337
"בית שמש",31.74704,34.9881
"בית שערים",32.703756,35.129934
"בית שקמה",31.637734,34.610075
"ביתן אהרן",32.364927,34.869561
"ביתר עילית",31.693492,35.118037
"בלפוריה",32.629987,35.296282
"בן זכאי",31.857222,34.727434
"בן עמי",33.005368,35.122219
"בן שמן (כפר הנוער)",31.9536,34.920981
"בן שמן (כפר נוער)",31.959664,34.929058
"בן שמן (מושב)",31.9536,34.920981
"בן שמן )כפר נוער(",31.959664,34.929058
"בן שמן )מושב(",31.9536,34.920981
"בן שמן )שיכון(",31.958895,34.934105
"בן שמן-כפר הנוער",31.9536,34.920981
"בן שמן-מושב",31.9536,34.920981
"בן שמן-שיכון",31.958895,34.934105
"בני ברק",32.084931,34.835228
"בני דרום",31.820869,34.691611
"בני דרור",32.261794,34.901793
"בני יהודה",32.798261,35.691072
"בני עטרות",32.021469,34.910147
"בני עי\"ש",31.790234,34.759293
"בני עצמון",31.324025,34.940026
"בני ציון",32.219838,34.86838
"בני ראם",31.769971,34.790464
"בניה",31.843443,34.751794
"בנימינה",32.525144,34.937527
"בנימינה-גבעת עדה",32.525144,34.937527
"בסמ\"ה",32.5294,35.103201
"בסמת טבעון",32.736286,35.153202
"בענה",32.929537,35.271919
"בצרה",32.21454,34.878124
"בצת",33.070046,35.132637
"בקוע",31.827898,34.924734
"בקעות",32.242069,35.452637
"בר גיורא",31.729682,35.073415
"בר יוחאי",32.997703,35.448192
"ברור חיל",31.556984,34.646548
"ברוש",31.920403,35.014586
"ברטעה",32.475483,35.091974
"ברכה",32.224986,35.163675
"ברכיה",31.668046,34.624297
"ברעם",33.058978,35.433236
"ברק",32.106471,35.187525
"ברקאי",32.476095,35.031045
"ברקן",32.10855,35.112725
"ברקת",31.80852,35.163888
"בת הדר",31.648124,34.597147
"בת חפר",32.333713,35.01373
"בת חצור",32.01155,34.757287
"בת ים",32.013185,34.748021
"בת עין",31.657652,35.101103
"בת שלמה",32.600334,35.003839
"גאולי תימן (שכון",32.391836,34.90099
"גאולי תימן שכון",32.391836,34.90099
"גאולי תימן",32.391836,34.90099
"גאולים",32.296486,34.943864
"גאליה",31.885643,34.765352
"גבולות",31.211166,34.466201
"גבים",31.506272,34.59895
"גבע בנימין",31.849998,35.273854
"גבע כרמל",32.662162,34.954079
"גבע",32.566529,35.372161
"גבעולים",31.397603,34.593823
"גבעון החדשה",31.848895,35.159031
"גבעות בר",31.357208,34.755543
"גבעת אבני",32.775381,35.436156
"גבעת אלה",32.722006,35.244824
"גבעת ברנר",31.866609,34.802256
"גבעת השלושה",32.096339,34.92063
"גבעת זאב",31.861188,35.167253
"גבעת ח\"ן",32.167578,34.875515
"גבעת חיים (איחוד)",32.396744,34.93298
"גבעת חיים (מאוחד)",32.392147,34.929449
"גבעת חיים )איחוד(",32.396744,34.93298
"גבעת חיים )מאוחד(",32.392147,34.929449
"גבעת חיים איחוד",32.396744,34.93298
"גבעת חיים מאוחד",32.392147,34.929449
"גבעת יואב",32.801216,35.680913
"גבעת יערים",31.786087,35.092771
"גבעת ישעיהו",31.671679,34.94374
"גבעת כ\"ח",32.03209,34.938798
"גבעת ניל\"י",32.549042,35.041195
"גבעת עדה",32.517077,34.955097
"גבעת עוז",32.555933,35.198005
"גבעת שמואל",32.077298,34.849208
"גבעת שמש",31.7741667,34.9505556
"גבעת שפירא",32.357628,34.875846
"גבעתי",31.733137,34.67948
"גבעתיים",32.072175,34.808873
"גבעתים",32.072175,34.808873
"גברעם",31.59146,34.612158
"גבת",32.676559,35.213153
"גדות",33.018207,35.619549
"גדיד",31.848254,35.037514
"גדיש",32.558843,35.244432
"גדעונה",32.549926,35.359204
"גדרה",31.81753,34.785103
"גונן",33.123563,35.647702
"גורן",33.055565,35.23362
"גורנות הגליל",33.059286,35.249671
"גזית",32.639306,35.446241
"גזר",31.876348,34.921111
"גיאה",31.628466,34.602679
"גיבתון",31.888317,34.799062
"גיזו",31.805583,34.939654
"גילון",32.904337,35.232193
"גילת",31.32632,34.648935
"גינוסר",32.848665,35.523154
"גיניגר",32.663418,35.259862
"גינתון",31.962799,34.913063
"גיתה",32.967232,35.249127
"גיתית",32.100272,35.395444
"גלאון",31.63337,34.8489
"גלגל",32.000015,35.444644
"גליל ים",32.158796,34.831878
"גלעד (אבן -יצחק)",32.558074,35.076561
"גלעד (אבן יצחק)",32.558074,35.076561
"גמזו",31.927216,34.941129
"גן אור",31.849922,35.032683
"גן הדרום",31.804055,34.699871
"גן השומרון",32.465006,34.999049
"גן חיים",32.19576,34.906959
"גן יאשיה",32.349486,34.996247
"גן יבנה",31.783055,34.703103
"גן נר",32.528705,35.336255
"גן שורק",31.94401,34.758323
"גן שלמה",31.878776,34.798903
"גן שמואל",32.45291,34.949313
"גנות הדר",32.321739,34.900716
"גנות",32.018203,34.825879
"גני הדר",31.878923,34.854029
"גני טל",31.850733,35.035545
"גני יהודה",32.039147,34.877921
"גני יוחנן",31.859923,34.840829
"גני עם",32.149837,34.90336
"גני תקווה",32.060496,34.873123
"גנים",32.102299,35.173361
"גסר א-זרקא",32.536261,34.911571
"געש",32.228476,34.824413
"געתון",33.006074,35.213833
"גפן",32.199587,35.007825
"גרופית",29.941615,35.064692
"גשור",32.81994,35.71571
"גשר הזיו",33.040531,35.110565
"גשר",32.621204,35.550378
"גת (קיבוץ)",31.627795,34.794114
"גת )קיבוץ(",31.627795,34.794114
"גת רימון",32.068104,34.881364
"גת",31.627795,34.794114
"דאלית אל-כרמל",32.693795,35.055448
"דבורה",32.552894,35.263855
"דבוריה",32.694119,35.368515
"דבירה",31.411697,34.825178
"דברת",32.646728,35.350087
"דגניה א",32.706937,35.575064
"דגניה ב",32.699069,35.577552
"דוב\"ב",33.050799,35.407749
"דוגית",31.848901,35.035912
"דוחן",32.043956,34.79242
"דולב",31.926248,35.133592
"דור",32.607801,34.923317
"דורות",31.507206,34.645727
"דחי",32.62249,35.343605
"דייר אל-אסד",32.934449,35.268396
"דייר חנא",32.862315,35.365254
"דייר ראפאת",31.776529,34.947441
"דימונה",31.069418,35.033364
"דיר אל-אסד",32.934449,35.268396
"דיר חנא",32.862315,35.365254
"דישון",33.082317,35.517573
"דליה",32.589249,35.076967
"דלתון",33.016552,35.489912
"דמיידה",32.817187,35.228533
"דן",32.164638,35.069206
"דפנה",32.12204,35.03167
"דקל",31.195907,34.346772
"האון",32.726747,35.622667
"הבונים",32.636585,34.932706
"הגושרים",33.221484,35.62303
"הדר עם",32.349652,34.898946
"הוד השרון",32.155693,34.893597
"הודיה",31.676355,34.639277
"הודיות",32.7886111,35.435
"הוואשלה",31.092225,34.97907
"הוזייל",31.414486,34.761873
"הושעיה",32.757926,35.295226
"הזורע",32.644515,35.119181
"הזורעים",32.748139,35.499924
"החותרים",32.75231,34.957547
"היוגב",32.612752,35.207485
"הילה",33.036174,35.244584
"המעפיל",32.378034,34.983147
"הסוללים",32.751801,35.238024
"העוגן",32.360436,34.92334
"הר אדר",31.8245,35.129662
"הר גילה",31.722057,35.171493
"הר עמשא",31.342716,35.101601
"הראל",31.826026,35.130184
"הרדוף",32.104475,35.104166
"הרצליה",32.162412,34.844677
"הררית",32.845695,35.369258
"ורד יריחו",31.826191,35.43214
"ורדון",31.663822,34.781767
"זבארגה",31.236448,35.034191
"זבדיאל",31.657558,34.759338
"זובידאת",32.174306,35.529959
"זוהר",31.595591,34.692364
"זיקים",31.607202,34.52097
"זיתן",31.975177,34.891733
"זכרון יעקב",32.573904,34.951979
"זכריה",31.708811,34.944709
"זלפה",32.548937,35.187057
"זמר",32.365683,35.034652
"זמרת",31.447852,34.552289
"זנוח",31.733811,34.99937
"זרועה",31.459132,34.624162
"זרזיר",32.72329,35.220438
"זרחיה",31.681741,34.746421
"חבצלת השרון",32.360399,34.86182
"חבר",31.861803,35.177705
"חברון",41.3186482,-87.2003091
"חגור",32.13859,34.947615
"חגי",31.492529,35.079538
"חגלה",32.389069,34.924253
"חד-נס",32.927513,35.641409
"חדיד",31.969428,34.932158
"חדרה",32.442784,34.92088
"חולדה",31.832149,34.881525
"חולון",32.015832,34.787386
"חולית",31.794446,35.337717
"חולתה",33.05285,35.609246
"חומש",31.850146,35.034921
"חוסן",32.997698,35.298725
"חוסנייה",32.900572,35.322509
"חופית",32.386081,34.874079
"חוקוק",32.87863,35.496656
"חורה",31.300398,34.93569
"חורפיש",33.016687,35.347108
"חורשים",32.137874,34.971022
"חזון",32.906579,35.395293
"חיבת ציון",32.397994,34.911932
"חיננית",32.48089,35.173183
"חיפה",32.83036,34.974339
"חירות",32.314725,34.897156
"חלוץ",32.95127,35.311105
"חלמיש",31.94652,35.221371
"חלף",36.1666667,1.3333333
"חלץ",31.577939,34.658393
"חמאם",32.828398,35.491722
"חמד",32.017991,34.841266
"חמדיה",32.519772,35.52057
"חמדת",32.252027,35.526845
"חמרה",32.199687,35.437351
"חניאל",32.332802,34.947695
"חניתה",33.087633,35.173431
"חנתון",32.78305,35.245065
"חספין",32.845056,35.78875
"חפץ חיים",31.931552,35.044223
"חפצי-בה",32.518728,35.426249
"חצב",31.780094,34.770573
"חצבה",30.767941,35.278499
"חצור הגלילית",32.980381,35.54355
"חצור-אשדוד",31.772743,34.719367
"חצרות חולדה",32.192354,34.936828
"חצרות כ\"ח",32.180823,34.900364
"חצרות כרמל",32.784556,34.966145
"חצרים",31.240602,34.717429
"חרב לאת",32.403525,34.917148
"חרוצים",32.227709,34.864774
"חרות",32.240972,34.914129
"חרמש",32.423725,35.118995
"חרשים",32.957736,35.328218
"חשמונאים",31.93263,35.023271
"טבריה",32.795858,35.530975
"טובא-זנגריה",32.966209,35.59202
"טובה-זנגריה",32.966209,35.59202
"טורעאן",32.775136,35.378345
"טייבה (בעמק)",32.266891,35.009676
"טייבה )בעמק(",32.266891,35.009676
"טייבה במשולש",32.266891,35.009676
"טייבה",32.266891,35.009676
"טייבה-בעמק",32.266891,35.009676
"טירה",31.869947,35.125588
"טירת יהודה",32.014832,34.935879
"טירת כרמל",32.762126,34.972982
"טירת צבי",32.422485,35.528321
"טל שחר",31.804402,34.903273
"טל-אל",32.927305,35.1825
"טללים",30.99151,34.771262
"טלמון",31.939474,35.133132
"טמרה (יזרעאל)",32.634917,35.402701
"טמרה )יזרעאל(",32.634917,35.402701
"טמרה",32.852246,35.201317
"טמרה-יזרעאל",32.634917,35.402701
"טנא",31.376131,34.957384
"טפחות",32.868561,35.422206
"יבול",31.189457,34.318953
"יבנאל",32.708764,35.503779
"יבנה",31.877957,34.73945
"יגור",32.741531,35.076827
"יגל",31.987791,34.880263
"יד בנימין",31.796684,34.820372
"יד השמונה",31.809549,35.089619
"יד חנה",32.32531,35.006693
"יד מרדכי",31.586961,34.557502
"יד נתן",31.652959,34.704875
"יד רמב\"ם",31.89984,34.900088
"ידידה",31.8122806,35.1046389
"ידידיה",32.347362,34.898322
"יהוד",32.029337,34.879581
"יהוד-נווה אפרים",32.029459,34.874134
"יהל",30.084233,35.128395
"יובל",33.246576,35.597065
"יובלים",31.885668,35.031866
"יודפת",32.836595,35.271483
"יונתן",32.939659,35.79547
"יושיביה",31.444698,34.608786
"יזרעאל",32.562588,35.319426
"יחיעם",32.996109,35.221093
"יטבתה",29.89632,35.059229
"ייט\"ב",31.947214,35.422377
"יכיני",31.482204,34.598635
"ינוב",32.30743,34.951386
"ינון",31.74183,34.780949
"יסוד המעלה",33.053579,35.589015
"יסודות",31.815834,34.865637
"יסעור",32.901144,35.166643
"יעד",32.881224,35.240641
"יעל",32.552063,35.30655
"יעף",32.268253,34.967427
"יערה",33.068012,35.186082
"יפיע",32.695001,35.282012
"יפית",32.062686,35.474318
"יפעת",32.675852,35.223984
"יפתח",33.128345,35.552032
"יצהר",31.738445,35.189187
"יציץ",31.863225,34.861905
"יקום",32.249195,34.841904
"יקיר",32.14983,35.114633
"יקנעם (מושבה)",32.660224,35.104608
"יקנעם )מושבה(",32.660224,35.104608
"יקנעם עילית",32.660224,35.104608
"יקנעם-מושבה",32.660224,35.104608
"יראון",33.077238,35.454292
"ירדנה",32.565356,35.565979
"ירוחם",30.987803,34.929743
"ירושלים",31.768318,35.213711
"ירחיב",32.151535,34.967993
"ירכא",32.953491,35.211992
"ירקונה",32.144523,34.897884
"ישע",31.247594,34.403092
"ישעי",31.752968,34.962587
"ישרש",31.915666,34.847338
"יתד",31.207041,34.326127
"יתיר",31.350959,35.016969
"כאבול",32.867506,35.213356
"כאוכב אבו אל-היגא",32.831887,35.248702
"כאוכב אל-היגא",32.831887,35.248702
"כברי",33.020984,35.147008
"כדורי",32.702509,35.407341
"כדים",31.848222,35.033995
"כוכב השחר",31.960263,35.349422
"כוכב יאיר",32.220921,34.992407
"כוכב יעקב",31.880151,35.242774
"כוכב מיכאל",31.631481,34.667796
"כורזים",32.911111,35.550152
"כחל",32.890464,35.511573
"כיסופים",31.374544,34.398993
"כישור",32.94665,35.250215
"כליל",32.983566,35.199674
"כלנית",31.564376,35.031388
"כמאנה",32.90931,35.33693
"כמהין",30.910326,34.430726
"כמון",32.909118,35.360918
"כנות",31.802464,34.75281
"כנף",32.870411,35.697899
"כנרת (מושבה)",32.725227,35.565369
"כנרת (קבוצה)",32.714208,35.562748
"כסיפה",31.249245,35.083682
"כסלון",31.774261,35.048172
"כסרא",32.972319,35.29853
"כסרא-סמיע",32.972319,35.29853
"כעביה-טבאש",32.748854,35.184022
"כפר אביב",31.831038,34.722579
"כפר אדומים",31.827215,35.337191
"כפר אוריה",31.793398,34.944758
"כפר אז\"ר",32.058586,34.842348
"כפר אחים",31.745863,34.755933
"כפר ביאליק",32.821375,35.087751
"כפר ביל\"ו",31.870474,34.826735
"כפר בילו",31.870474,34.826735
"כפר בלום",33.172526,35.607939
"כפר בן נון",31.861678,34.947192
"כפר ברא",32.13091,34.97011
"כפר ברוך",32.646047,35.19308
"כפר גדעון",32.644578,35.289279
"כפר גלים",32.7661111,34.9594444
"כפר גליקסון",32.505823,35.003542
"כפר גלעדי",33.242077,35.574144
"כפר דניאל",31.93352,34.932308
"כפר דרום",31.849825,35.034783
"כפר האורנים",32.211473,34.900069
"כפר החורש",32.701548,35.272957
"כפר המכבי",32.791803,35.114794
"כפר הנגיד",31.887133,34.748726
"כפר הנוער הדתי",32.7428972,35.09615
"כפר הנשיא",32.974659,35.60231
"כפר הס",32.24772,34.935138
"כפר הרא\"ה",32.391036,34.910919
"כפר הרי\"ף",31.747028,34.79093
"כפר ויתקין",32.38054,34.875309
"כפר ורבורג",31.718746,34.728682
"כפר ורדים",32.995087,35.269103
"כפר זיתים",32.811613,35.465166
"כפר חב\"ד",31.990143,34.849104
"כפר חושן",33.0123306,35.4414889
"כפר חיטים",32.799997,35.503281
"כפר חיים",32.353856,34.900711
"כפר חנניה",32.915992,35.423786
"כפר חסידים א",32.748649,35.089977
"כפר חסידים ב",32.748649,35.089977
"כפר חרוב",32.762356,35.664182
"כפר טרומן",31.980491,34.927697
"כפר יאסיף",32.956361,35.165467
"כפר ידידיה",32.344901,34.89904
"כפר יהושע",32.681638,35.151978
"כפר יונה",32.317718,34.933616
"כפר יחזקאל",32.566948,35.36089
"כפר יעבץ",32.273943,34.965464
"כפר כמא",32.721104,35.442836
"כפר כנא",32.744998,35.33976
"כפר מונש",32.345606,34.916427
"כפר מימון",31.4314,34.537182
